"V1" "V2"
696.5 282
701.5 327
663.5 309
662.5 351
597.5 328
620.5 285
552.5 302
576.5 262
510.5 291
535.5 239
473.5 278
504.5 222
436.5 239
470.5 197
416.5 171
470.5 158
448.5 104
494.5 127
497.5 78
531.5 113
568.5 77
580.5 122
631.5 106
613.5 145
672.5 130
647.5 172
709.5 155
684.5 195
746.5 175
727.5 221
790.5 189
776.5 239
837.5 195
847.5 241
879.5 192
924.5 221
901.5 160
949.5 152
871.5 125
906.5 88
834.5 95
856.5 56
788.5 81
812.5 36
739.5 62
765.5 17
690.5 47
717.5 0
