"V1" "V2"
"1" 180 324
"2" 158 294
"3" 155 254
"4" 153 211
"5" 288 327
"6" 310 298
"7" 312 255
"8" 310 214
"9" 138 146
"10" 138 98
"11" 138 51
"12" 138 0
"13" 318 151
"14" 320 98
"15" 320 57
"16" 320 4
"17" 185 188
"18" 185 146
"19" 185 98
"20" 183 50
"21" 185 2
"22" 273 193
"23" 273 153
"24" 273 102
"25" 273 56
"26" 273 4
