"V1" "V2"
134 395
275.53515625 395.080939947781
21.6328125000001 397.263707571802
73.06640625 397.263707571802
53 418
55 369
101 418
380.8515625 396.172323759791
328.6015625 396.172323759791
350.64453125 418
348 369
305 418
96.7421875 370.524804177546
113.0703125 345.422976501306
113.0703125 321.958224543081
113.0703125 298.493472584856
308.19140625 362.339425587467
326.96875 342.694516971279
326.96875 320.321148825065
326.96875 294.127937336815
114.703125 274.483028720627
114.703125 251.563968668407
114.703125 227.007832898172
113.0703125 198.086161879896
325.3359375 263.023498694517
325.3359375 237.375979112272
325.3359375 207.90861618799
325.3359375 175.712793733682
77.96484375 296.310704960836
77.96484375 274.483028720627
79.5976562500001 251.563968668407
79.59765625 227.553524804178
79.59765625 204.634464751958
354.7265625 284.305483028721
354.7265625 261.932114882507
354.7265625 237.921671018277
354.7265625 213.365535248042
354.7265625 186.080939947781
72.25 159.88772845953
107.35546875 172.43864229765
132.6640625 152.793733681462
162.0546875 152.793733681462
68.984375 135.331592689295
85.3125000000001 111.321148825065
118.78515625 112.412532637076
131.03125 129.874673629243
370.23828125 142.425587467363
337.58203125 148.973890339426
309.82421875 133.694516971279
282.06640625 130.966057441253
370.23828125 118.415143603133
362.07421875 91.6762402088773
331.05078125 90.5848563968669
311.45703125 111.321148825065
51.83984375 111.321148825065
76.33203125 86.2193211488252
108.98828125 86.7650130548304
141.64453125 94.9503916449087
157.15625 114.595300261097
396.36328125 102.590078328982
380.03515625 67.6657963446476
347.37890625 67.1201044386423
318.8046875 67.1201044386423
295.9453125 85.67362924282
37.14453125 92.2219321148825
76.33203125 64.9373368146215
114.703125 64.9373368146216
148.9921875 72.5770234986946
175.1171875 98.2245430809401
76.33203125 44.2010443864232
117.96875 42.0182767624021
156.33984375 49.6579634464753
192.26171875 79.6710182767624
20 73.1227154046999
76.33203125 21.2819843342037
122.05078125 18.0078328981724
162.0546875 26.7389033942559
207.7734375 62.2088772845955
416.7734375 87.8563968668407
382.484375 46.383812010444
347.37890625 45.2924281984335
313.08984375 44.7467362924282
286.1484375 66.0287206266319
382.484375 25.6475195822454
349.01171875 21.8276762402088
305.7421875 24.556135770235
274.71875 48.5665796344647
438 73.1227154046998
380.8515625 3.81984334203662
349.01171875 0
298.39453125 3.81984334203662
264.921875 29.467362924282
