"V1" "V2"
112.070484581498 0
81.6872246696035 47.7714285714286
54.0660792951542 98.1968253968254
112.070484581498 80.9460317460317
78.9251101321586 134.025396825397
112.070484581498 134.025396825397
147.977973568282 131.371428571429
353.295154185022 13.2698412698413
388.281938325991 66.3492063492063
416.823788546256 104.831746031746
355.136563876652 88.9079365079365
386.440528634361 151.27619047619
353.295154185022 149.949206349206
321.070484581498 148.622222222222
160.867841409692 195.066666666667
123.118942731278 197.720634920635
87.2114537444934 197.720634920635
52.2246696035242 180.469841269841
20 159.238095238095
291.607929515419 210.990476190476
328.436123348018 214.971428571429
366.185022026432 214.971428571429
398.409691629956 204.355555555556
436.15859030837 183.12380952381
160.867841409692 253.453968253968
123.118942731278 254.780952380952
87.2114537444934 254.780952380952
52.2246696035242 240.184126984127
20 214.971428571429
121.277533039648 319.803174603175
87.2114537444934 322.457142857143
52.2246696035242 303.879365079365
20 266.72380952381
162.709251101322 315.822222222222
121.277533039648 382.171428571429
87.2114537444934 384.825396825397
50.3832599118943 363.593650793651
20 323.784126984127
291 262
329 268
366 267
399 265
438 232.222222222222
329 330
365 332
399 330
438 289.28253968254
291 314
329 386
365 393
401 387
438 342.361904761905
